prec_no,block_no,prec_name,block_name,ob_type
13,1112,留萌地方,古丹別,a
13,1213,留萌地方,焼尻,a
13,1216,留萌地方,初山別,a
13,1217,留萌地方,達布,a
13,1218,留萌地方,幌糠,a
14,0029,石狩地方,阿曽岩,a
14,0030,石狩地方,新篠津,a
14,0031,石狩地方,山口,a
14,0032,石狩地方,手稲山,a
14,47412,石狩地方,札幌,s
14,0034,石狩地方,小金湯,a
14,0035,石狩地方,恵庭島松,a
14,0036,石狩地方,島松山,a
14,0037,石狩地方,支笏湖畔,a
14,1076,石狩地方,西野幌,a
14,1085,石狩地方,石狩,a
14,1193,石狩地方,浜益,a
14,1194,石狩地方,厚田,a
14,1459,石狩地方,千歳,a
14,1507,石狩地方,江別,a
15,0038,空知地方,石狩沼田,a
15,0039,空知地方,深川,a
15,0040,空知地方,常盤山,a
15,0041,空知地方,滝川,a
15,0042,空知地方,神威岳,a
15,0043,空知地方,芦別,a
15,0044,空知地方,美唄,a
15,47413,空知地方,岩見沢,s
15,0046,空知地方,下桂沢,a
15,0047,空知地方,長沼,a
15,0048,空知地方,丁未山,a
15,0049,空知地方,夕張,a
15,0050,空知地方,登川山,a
15,0999,空知地方,月形,a
15,1068,空知地方,栗沢,a
15,1270,空知地方,晩生内,a
15,1271,空知地方,桜山,a
15,1287,空知地方,空知吉野,a
15,1400,空知地方,浦臼,a
15,1401,空知地方,鹿島,a
15,1402,空知地方,沼の沢,a
15,1419,空知地方,新城,a
15,1566,空知地方,赤平,a
15,1567,空知地方,雨竜,a
15,1674,空知地方,秩父別,a
16,0051,後志地方,美国,a
16,0052,後志地方,余市,a
16,47411,後志地方,小樽,s
16,0054,後志地方,共和,a
16,0055,後志地方,蘭越,a
16,47433,後志地方,倶知安,s
16,0057,後志地方,脇方台地,a
16,47421,後志地方,寿都,s
16,0059,後志地方,桂台,a
16,0060,後志地方,喜茂別,a
16,0061,後志地方,黒松内,a
16,1072,後志地方,真狩,a
16,1091,後志地方,赤井川,a
16,1208,後志地方,神恵内,a
16,1615,後志地方,ニセコ,a
